"","C24","CCA1-OX","COL","LER","PIF4OX","PIF5OXL1","PIF5OXL2","WS","elf3","elf4","hy2-103","hy5-1","pif4","pif4pif5","pif5s1","toc1-2"
"4340",0.00107764307098306,0.00102678778870543,0.000614509067548473,0.00113376580608722,0.00161762401947304,0.00158716542301531,0.0014166106392562,0.00072394370151644,0.00195659102310402,0.00130601109920305,0.00138446699065402,0.000256010606802047,0.00023908554022734,2.83478690327985e-06,6.86659497010386e-06,0.00118184177625326
"4350",0.000999793663929655,0.000883922827005584,0.000590523945426271,0.00107450862985753,0.00146481067025191,0.00146994163325663,0.00137313490462026,0.00067216769417513,0.00180699627907160,0.00118455226891551,0.00127456421069304,0.000204147703469279,0.000206904883657932,4.02544653428382e-06,6.36494604057801e-06,0.00111958343312337
"4360",0.000912211991224711,0.000754563190930925,0.000561364602796322,0.00101187573930379,0.00133319841676461,0.00136438335430308,0.0013452685656331,0.000626744628408148,0.0016591756148149,0.00106316907951772,0.00116507558910879,0.000157675380442296,0.00017655980342971,5.41484566734631e-06,5.76370294873525e-06,0.00106322296131310
"4370",0.00081946485643217,0.000640330198216531,0.000528315244143755,0.00094871208281900,0.00122588197223059,0.00127385467146187,0.00133186722547504,0.000588828139006206,0.00151711766495961,0.000945327293385627,0.00106038525769962,0.000120712421048643,0.000148603494283250,7.00479716284899e-06,5.10582468720312e-06,0.00101280454735894
"4380",0.000726582501891007,0.000541988146711834,0.000493111021532084,0.000888237807045626,0.00114312000347883,0.00120207564254900,0.00133208417741535,0.000558440574542755,0.00138421062025025,0.000833796557603708,0.000965675480970043,9.51229570880355e-05,0.000123610245717247,8.79240282602997e-06,4.42669315353941e-06,0.000966254711765655
"4390",0.000638377507097067,0.000460071818104781,0.000457539156666833,0.000833156605029412,0.00108396172875453,0.00115100115252640,0.00134508511429589,0.000535202203080766,0.00126403924939011,0.000731178131858843,0.000885947984089038,8.21189864913946e-05,0.000102182578046726,1.07492977202100e-05,3.75885093513587e-06,0.00092139637525488
"4400",0.000557328189104502,0.00039378737027542,0.000422902716275917,0.000784381310398455,0.00104600106182634,0.00111968213636943,0.00136750678315258,0.000518489615775913,0.00115877188067172,0.000638875430593717,0.00082407202972838,8.26314426084277e-05,8.46733627474138e-05,1.28385461842556e-05,3.11944399386189e-06,0.000875304877887867
"4410",0.000484522772154246,0.000341730582030729,0.00039000860742455,0.00074148007900365,0.00102511936496403,0.00110535334266421,0.00139243570278068,0.0005078219138872,0.00106823883104405,0.00055762735443126,0.000780745655575794,9.67517958820612e-05,7.11907157635602e-05,1.50146638401661e-05,2.52040652853837e-06,0.000824460154676657
"4420",0.000420926499597245,0.000302386591514330,0.000359590238531251,0.000703794460506649,0.00101655851129263,0.00110471312326585,0.00141278478134146,0.000502866410866861,0.000992046423466847,0.000487973687018434,0.00075581538154326,0.000123762521646551,6.17493516331659e-05,1.71859631221981e-05,1.97206676281065e-06,0.000765692686503198
"4430",0.000366479335925757,0.000274293017160726,0.000331878865998445,0.000671004891670115,0.00101540166898194,0.00111474772792006,0.00142572583429631,0.000502975574062817,0.000928934861216066,0.000428944923749122,0.000747276297079523,0.000160845700377453,5.62471452278007e-05,1.92452069768746e-05,1.47603689661280e-06,0.000699196693620296
